gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1407522170	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS376200529	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2008-11-20	20	11	2008	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS376200529				CC_BY_4_0		obsr360378			2024-04-17T08:25:14.318Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1407341556	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS375551494	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2008-11-20	20	11	2008	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS375551494				CC_BY_4_0		obsr345071			2024-04-17T08:48:30.831Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1407039740	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS373487723	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2007-03-11	11	3	2007	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS373487723				CC_BY_4_0		obsr339507			2024-04-17T08:25:55.843Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1406868110	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS372360512	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Te Anau to Milford Sound and everywhere in between	Southland	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.670452	167.92517							2009-11-04	4	11	2009	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS372360512				CC_BY_4_0		obsr59106			2024-04-17T08:25:28.984Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1405736914	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS367358896	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Milford Track--Pompolona Lodge	Southland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.83746	167.80084							1984-03-01	1	3	1984	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS367358896				CC_BY_4_0		obsr276738			2024-04-17T08:46:10.765Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1405445410	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS365615110	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	South Branch, Mistake Creek	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.869892	168.00761							2015-12-28	28	12	2015	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS365615110				CC_BY_4_0		obsr679859			2024-04-17T08:47:16.337Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1405360340	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS365202502	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							1965-05-06	6	5	1965	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS365202502				CC_BY_4_0		obsr276738			2024-04-17T08:25:09.782Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1404462982	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS361917382	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2015-12-30	30	12	2015	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS361917382				CC_BY_4_0		obsr277578			2024-04-17T08:49:45.899Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1404270582	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS361844373	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2015-12-16	16	12	2015	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS361844373				CC_BY_4_0		obsr346599			2024-04-17T09:11:01.411Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
1403669855	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS361023473	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Arthur's Pass NP -- Otira Valley Walk	West Coast	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-42.8998	171.5573							2012-03-24	24	3	2012	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS361023473				CC_BY_4_0		obsr182152			2024-04-17T08:24:28.634Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
