GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2353541671	2024-07-30 17:08:10.084148	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE9	L35328777	P	-43.7379430	169.9108540	2024-01-30		obsr6143070	S189583239	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_tops+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541994	2024-07-30 17:08:11.252795	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCS36	Hokitika River HOKI18	L35328828	P	-43.0835380	171.0964820	2024-01-25		obsr6143070	S189583566	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Hokitika River2024 1080_tops_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542865	2024-07-30 17:08:15.874464	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR6	L35329005	P	-43.6335590	170.0413720	2024-01-31		obsr6143070	S189584294	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541682	2024-07-30 17:08:10.127261	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE15	L35328778	P	-43.7433869	169.8944980	2024-01-31		obsr6143070	S189583250	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_tops+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541886	2024-07-30 17:08:10.863694	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA2	L35328809	P	-43.2773910	170.7291610	2024-01-30		obsr6143070	S189583456	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542606	2024-07-30 17:08:14.993355	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCT36	Hokitika River HOKI10	L35328921	P	-43.1041350	171.1052750	2024-01-26		obsr6143070	S189584034	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Hokitika River2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542860	2024-07-30 17:08:15.85855	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR10	L35329003	P	-43.6346690	170.0483460	2024-01-29		obsr6143070	S189584289	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543030	2024-07-30 17:08:16.45482	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON6	L35329074	P	-42.8391100	171.5359290	2024-01-25		obsr6143070	S189584460	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 1080_tops+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541704	2024-07-30 17:08:10.200013	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE2	L35328785	P	-43.7365540	169.8885684	2024-01-31		obsr6143070	S189583272	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541930	2024-07-30 17:08:11.008658	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA8	L35328815	P	-43.2800290	170.7179160	2024-01-29		obsr6143070	S189583500	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542857	2024-07-30 17:08:15.84825	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE4	L35329002	P	-43.7357983	169.8965297	2024-01-31		obsr6143070	S189584286	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543016	2024-07-30 17:08:16.407673	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDC24	Zeilian Creek Z23	L35329063	P	-43.8684810	169.5052844	2024-01-16		obsr6143070	S189584446	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Zeilian Creek2024 traponly_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541981	2024-07-30 17:08:11.194424	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON9	L35328824	P	-42.8426990	171.5310990	2024-01-26		obsr6143070	S189583553	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 Island		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542992	2024-07-30 17:08:16.328559	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR2	L35329050	P	-43.6238070	170.0466210	2024-01-30		obsr6143070	S189584422	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS1925586812	2024-01-15 23:17:59.95373	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2	CF	C4	CF		New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Arthur's Pass NP--Otira Valley Track	L8010329	H	-42.8981510	171.5439015	2024-01-16	10:07:00	obsr1197424	S159034560	Stationary	P21	EBIRD_ATL_NZ	21			2	1	G11534942	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2353541847	2024-07-30 17:08:10.733314	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA16	L35328805	P	-43.2914570	170.7197420	2024-01-31		obsr6143070	S189583417	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541885	2024-07-30 17:08:10.86035	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA2	L35328809	P	-43.2773910	170.7291610	2024-01-29		obsr6143070	S189583455	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541946	2024-07-30 17:08:11.063605	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCV33	Aciphylla ACIPHYLLA11	L35328817	P	-43.2878820	170.7261270	2024-01-29		obsr6143070	S189583517	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Aciphylla2024 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541632	2024-07-30 17:08:09.916946	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDC23	Zeilian Creek Z15	L35328771	P	-43.8685370	169.5024350	2024-01-17		obsr6143070	S189583200	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Zeilian Creek2024 traponly_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541737	2024-07-30 17:08:10.316755	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE10	L35328789	P	-43.7395440	169.9142850	2024-01-31		obsr6143070	S189583305	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542605	2024-07-30 17:08:14.99037	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCT36	Hokitika River HOKI10	L35328921	P	-43.1041350	171.1052750	2024-01-25		obsr6143070	S189584033	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Hokitika River2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542836	2024-07-30 17:08:15.780374	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDC23	Zeilian Creek Z21	L35328991	P	-43.8672898	169.4858415	2024-01-16		obsr6143070	S189584265	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Zeilian Creek2024 traponly_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542864	2024-07-30 17:08:15.871318	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR6	L35329005	P	-43.6335590	170.0413720	2024-01-30		obsr6143070	S189584293	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541729	2024-07-30 17:08:10.283842	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDA27	Troyte TROYTE8	L35328788	P	-43.7360220	169.9104880	2024-01-31		obsr6143070	S189583297	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Troyte2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543034	2024-07-30 17:08:16.468805	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR11	L35329078	P	-43.6381730	170.0457830	2024-01-29		obsr6143070	S189584464	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS1922631060	2024-03-14 22:40:33.569514	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2	FY	C4	FY		New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057					Arthur's Pass NP--Otira Valley Track	L8010329	H	-42.8981510	171.5439015	2024-01-12	06:41:00	obsr195506	S158754656	Traveling	P22	EBIRD	240	5.000		2	1	G11513284	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2353542989	2024-07-30 17:08:16.318465	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR12	L35329049	P	-43.6404370	170.0424610	2024-01-29		obsr6143070	S189584419	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline+trap_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542874	2024-07-30 17:08:15.910289	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCQ40	Mt Barron BARRON13	L35329007	P	-42.8494470	171.5240960	2024-01-26		obsr6143070	S189584303	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Mt Barron2024 Island		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542998	2024-07-30 17:08:16.348858	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR7	L35329052	P	-43.6289670	170.0506070	2024-01-31		obsr6143070	S189584428	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS2353541628	2024-07-30 17:08:09.901997	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkDB23	Zeilian Creek Z4	L35328769	P	-43.8644580	169.4636090	2024-01-17		obsr6143070	S189583196	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Zeilian Creek2024 traponly_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353543000	2024-07-30 17:08:16.355467	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057				blkCZ28	Copland STR8	L35329053	P	-43.6310970	170.0437840	2024-01-30		obsr6143070	S189584430	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	0		Copland2024 1080_treeline_beechgap		
URN:CornellLabOfOrnithology:EBIRD:OBS1932348178	2024-01-26 04:38:42.624394	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	West Coast	NZ-WTC	Westland District	NZ-WTC-057					Arthur's Pass NP--Otira Valley Track	L8010329	H	-42.8981510	171.5439015	2024-01-24	14:33:00	obsr674492	S159663298	Traveling	P22	EBIRD	130	3.160		1	1		1	1	0				
