POLITICAL_UNIT,NAME,WGMS_ID,YEAR,TIME_SYSTEM,BEGIN_PERIOD,END_WINTER,END_PERIOD,ELA_PREFIX,ELA,ELA_UNC,MIN_SITES_ACC,MAX_SITES_ACC,MIN_SITES_ABL,MAX_SITES_ABL,ACC_AREA,ACC_AREA_UNC,ABL_AREA,ABL_AREA_UNC,AAR,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AT,HINTEREIS F.,491,1963,,,,,,3010.0,,,,,,,,,,53.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1964,,,,,,3180.0,,,,,,,,,,25.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1965,,,,,,2770.0,,,,,,,,,,81.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1966,,,,,,2850.0,,,,,,,,,,76.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1967,,,,,,2920.0,,,,,,,,,,69.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1968,,,,,,2850.0,,,,,,,,,,73.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1969,,,,,,2960.0,,,,,,,,,,56.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1970,,,,,,3030.0,,,,,,,,,,49.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1971,FXD,19701001,,19710930,,3040.0,,,,,,,,,,49.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1972,FXD,19711001,,19720930,,2935.0,,,,,,,,,,66.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1973,FXD,19721001,,19730930,,3250.0,,,,,,,,,,24.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1974,FXD,19731001,,19740930,,2910.0,,,,,,,,,,68.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1975,FXD,19741001,,19750930,,2905.0,,,,,,,,,,71.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1976,FXD,19751001,,19760930,,2995.0,,20,,60,,5.23,,3.73,,58.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1977,FXD,19761001,,19770930,,2840.0,,20,,60,,6.95,,1.93,,78.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1978,FXD,19771001,,19780930,,2825.0,,20,,60,,6.81,,2.07,,77.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1979,FXD,19781001,,19790930,,2970.0,,20,,60,,5.23,,3.55,,59.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1980,FXD,19791001,,19800930,,2930.0,,20,,60,,6.06,,2.96,,67.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1981,FXD,19801001,,19810930,,2940.0,,15,,80,,5.84,,3.24,,64.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1982,FXD,19811001,,19820930,,3260.0,,15,,80,,1.89,,7.09,,22.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1983,FXD,19821001,,19830930,,3075.0,,15,,80,,3.68,,5.39,,39.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
AT,HINTEREIS F.,491,1984,FXD,19831001,,19840930,,2970.0,,15,,80,,5.7,,3.37,,63.0,,,"Data from Dyurgerov, M.(2002): [1, 2, 3, 4, 5, 6, 69, 30, 95, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
